timestamp,ECG_Raw
1772325,-210
1772331,34
1772352,-230
1772395,-324
1772415,196
1772437,385
1772479,484
1772484,615
1772502,727
1772523,680
1772565,476
1772586,367
1772608,479
1772650,453
1772671,78
1772692,132
1772735,342
1772755,523
1772777,531
1772820,600
1772842,522
1772863,262
1772906,120
1772927,726
1772948,1084
1772991,1128
1773012,732
1773033,837
1773076,1169
1773097,1329
1773117,911
1773160,471
1773181,488
1773292,780
1773376,1299
1773421,1326
1773432,1601
1773453,1619
1773529,1439
1773538,1535
1773581,1722
1773600,1229
1773621,1034
1773665,1208
1773685,1592
1773707,1363
1773750,1143
1773771,1547
1773792,1720
1773835,1609
1773856,1570
1773876,1830
1773919,1859
1773940,996
1773962,839
1774005,998
1774025,721
1774047,296
1774090,247
1774110,915
1774132,790
1774174,428
1774195,354
1774217,427
1774259,203
1774280,-307
1774301,-294
1774443,-369
1774489,-529
1774533,-848
1774552,-999
1774594,-1285
1774617,-1635
1774637,-1687
1774679,-1603
1774718,-1203
1774723,-1284
1774766,-1548
1774785,-1424
1774807,-1151
1774850,-1214
1774871,-1897
1774892,-1785
1774935,-1452
1774956,-1579
1774978,-1894
1775021,-1941
1775041,-1355
1775063,-1229
1775106,-1276
1775127,-1336
1775147,-1185
1775190,-978
1775210,-835
1775232,-851
1775275,-761
1775295,-516
1775317,-683
1775360,-930
1775382,-1042
1775402,-1113
1775445,-1307
1775465,-1170
1775577,-811
1775661,-494
1775705,-1404
1775716,-690
1775738,-495
1775781,-580
1775801,-845
1775839,-697
1775882,-360
1775887,-38
1775907,-321
1775950,-680
1775971,-692
1775992,-516
1776035,-510
1776057,-724
1776079,-623
1776121,-392
1776142,-139
1776163,-212
1776206,-291
1776227,-153
1776248,-140
1776291,-325
1776311,-600
1776333,-357
1776375,-130
1776396,-495
1776417,-517
1776460,-118
1776482,269
1776504,-202
1776546,-533
1776567,94
1776588,167
1776729,-239
1776775,-256
1776819,-63
1776838,-819
1776881,-659
1776901,52
1776923,-221
1776965,-646
1776986,-52
1777027,558
1777069,612
1777075,-354
1777094,-336
1777136,-18
1777157,-204
1777178,-529
1777221,-489
1777241,28
1777263,-110
1777305,-282
1777327,93
1777349,233
1777391,57
1777412,-381
1777434,-320
1777476,-200
1777497,-53
1777518,17
1777561,53
1777583,62
1777604,109
1777647,96
1777667,-153
1777689,-193
1777731,-165
1777752,-268
1777863,-281
1777946,-452
1777991,122
1778002,-552
1778023,-329
1778066,42
1778088,-126
1778109,-338
1778152,-208
1778172,346
1778194,153
1778269,-235
1778277,-167
1778320,-63
1778342,-479
1778364,-744
1778406,-760
1778427,54
1778448,290
1778491,105
1778511,-413
1778533,-125
1778575,336
1778596,337
1778617,-15
1778660,-207
1778665,-168
1778683,-34
1778704,72
1778747,134
1778767,109
1778789,-43
1778831,-197
1778852,-88
1778875,64
1779016,87
1779062,-331
1779105,93
1779124,-467
1779167,-585
1779188,-63
1779209,82
1779251,-74
1779273,-573
1779295,-452
1779337,-134
1779358,49
1779379,-164
1779422,-319
1779442,-123
1779838,-32
1780140,363
1780304,-28
1780389,492
1780434,269
1780453,-352
1780496,-682
1780518,-337
1780540,-108
1780582,-107
1780603,-389
1780624,-449
1780666,-417
1780687,-157
1780709,-58
1780751,-115
1780773,-466
1780795,-448
